max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,Year_of_Release,artist,category,designer,expansion,publisher,average_rating,users_rated,principal_category,secondary_category,other_category,WeightedAverage
12,90,14,6,10,Dead Last,90,2016,Hinchel Or,"Bluffing,Card Game,Negotiation,Party Game","Matthew Grosso,Andy Patton",no,"Lucrum Games,Smirk & Dagger Games",6.70174,711,Bluffing,Card Game,"Negotiation,Party Game",6.566578717360052
5,120,14,1,90,The Exiled: Siege,120,2016,"Mateusz Albricht,Tomasz Jedruszek","Fantasy,Fighting,Medieval",Mateusz Albricht,no,(Self-Published),6.89741,58,Fantasy,Fighting,Medieval,6.428744564019755
5,60,13,2,45,In the Name of Odin,60,2016,"Enggar Adirasa,Víctor Pérez Corbella,Agnieszka Kopera,David A. Nash,ShenFei,Odysseas Stamoglou,Quico Vicens",Medieval,Krzysztof Zięba,no,"Heidelberger Spieleverlag,NSKN Games",6.91978,295,Medieval,,,6.576760738016382
4,45,10,2,30,Deus Ex Machina,45,2016,"Mike Katoglou,Giota Vorgia","Ancient,Educational,Fighting,Mythology","Harry Haralampidis,Konstantinos Iovis,Lefteris Iroglidis",no,AlcyonCreative,6.98365,52,Ancient,Educational,"Fighting,Mythology",6.431774432469245
5,0,13,3,45,Wings for the Baron (second edition),0,2015,Tim Allen,"Aviation / Flight,Industry / Manufacturing,World War I",Dave Townsend,no,Victory Point Games,7.34649,114,Aviation / Flight,Industry / Manufacturing,World War I,6.554868968604272
6,45,10,3,20,Dicey Goblins,45,2016,"Jacqui Davis,Anita Osburn","Dice,Fantasy","Steve Ellis (II),Tyler Tinsley",yes,Renegade Game Studios,6.65259,58,Dice,Fantasy,,6.4032973238763855
4,35,14,2,25,Greedy Greedy Goblins,35,2016,J Hause,"Bluffing,Economic,Fantasy,Real-time,Territory Building",Richard Garfield,no,"Alderac Entertainment Group (AEG),Pegasus Spiele",6.51538,247,Bluffing,Economic,"Fantasy,Real-time,Territory Building",6.421002070579683
4,60,12,3,60,Liguria,60,2015,Harald Lieske,unknown,Alessandro Zucchini,no,Queen Games,6.98298,128,,,,6.498425361023923
6,0,18,2,60,Monopoly: Game of Thrones Collector's Edition,0,2015,unknown,"Fantasy,Movies / TV / Radio theme",unknown,no,"USAopoly,Winning Moves UK Ltd.",6.18015,68,Fantasy,Movies / TV / Radio theme,,6.351126561132084
4,60,13,1,30,Ascension: Dreamscape,60,2015,"Justin Gerard,Aaron Nakahara,Eric Sabee,David Wyatt","Card Game,Fantasy","John Fiorillo,Justin Gary",yes,Stone Blade Entertainment,7.84864,258,Card Game,Fantasy,,6.876172568236179
5,90,12,2,40,Wizard School,90,2016,Karen Hallion,"Card Game,Fantasy,Humor","Hank Green,Eric Johns",no,DFTBA Games,5.57659,91,Card Game,Fantasy,Humor,6.251538708499194
5,20,0,2,10,Keep,20,2015,Oliver Howe,"Card Game,Economic,Fantasy,Medieval",John Clowdus,no,Small Box Games,6.41581,136,Card Game,Economic,"Fantasy,Medieval",6.383238752709156
6,15,6,2,15,Fruit Salad,15,2015,"Vincent Boulanger,Jean-Charles Mourey",unknown,unknown,no,"Ludically,REBEL.pl,Swan Panasia Co., Ltd.",5.78514,74,,,,6.298414715545337
4,30,10,2,20,Dragon Keeper: The Dungeon,30,2016,"Boris Moncel,Ismaël Pommaz","Animals,Fantasy,Medieval",Etienne Daniault,no,Ilopeli,6.91265,83,Animals,Fantasy,Medieval,6.451011383744466
